Date,Month,Day,HijriMonth,HijriDay,Fajr,FajrIqama,Sunrise,Dhuhr,DhuhrIqama,Asr,AsrIqama,Maghrib,MaghribIqama,Isha,IshaIqama
2022-02-19,2,19,Rajab,18,5:51,6:15,7:23,12:51,1:00,3:41,4:15,6:12,6:17,7:32,8:00
2022-02-20,2,20,Rajab,19,5:50,6:15,7:22,12:51,1:00,3:42,4:15,6:13,6:18,7:33,8:00
2022-02-21,2,21,Rajab,20,5:48,6:15,7:20,12:51,1:00,3:43,4:15,6:14,6:19,7:34,8:00
2022-02-22,2,22,Rajab,21,5:47,6:15,7:19,12:51,1:00,3:44,4:15,6:16,6:21,7:35,8:00
2022-02-23,2,23,Rajab,22,5:45,6:15,7:17,12:50,1:00,3:45,4:15,6:17,6:22,7:36,8:00
2022-02-24,2,24,Rajab,23,5:44,6:15,7:16,12:50,1:00,3:46,4:15,6:18,6:23,7:37,8:00
2022-02-25,2,25,Rajab,24,5:42,6:00,7:14,12:50,1:00,3:46,4:15,6:19,6:24,7:38,8:00
2022-02-26,2,26,Rajab,25,5:41,6:00,7:13,12:50,1:00,3:47,4:15,6:21,6:26,7:39,8:00
2022-02-27,2,27,Rajab,26,5:39,6:00,7:11,12:50,1:00,3:48,4:15,6:22,6:27,7:40,8:00
2022-02-28,2,28,Rajab,27,5:38,6:00,7:10,12:50,1:00,3:49,4:15,6:23,6:28,7:41,8:00
2022-03-01,3,1,Rajab,28,5:36,6:00,7:08,12:49,1:00,3:50,4:15,6:24,6:29,7:42,8:00
2022-03-02,3,2,Rajab,29,5:35,6:00,7:06,12:49,1:00,3:51,4:15,6:26,6:31,7:43,8:00
2022-03-03,3,3,Rajab,30,5:33,6:00,7:05,12:49,1:00,3:52,4:15,6:27,6:32,7:44,8:00
2022-03-04,3,4,Sha'ban,1,5:32,6:00,7:03,12:49,1:00,3:52,4:30,6:28,6:33,7:45,8:15
2022-03-05,3,5,Sha'ban,2,5:30,6:00,7:02,12:49,1:00,3:53,4:30,6:29,6:34,7:46,8:15
2022-03-06,3,6,Sha'ban,3,5:29,6:00,7:00,12:48,1:00,3:54,4:30,6:30,6:35,7:47,8:15
2022-03-07,3,7,Sha'ban,4,5:27,6:00,6:58,12:48,1:00,3:55,4:30,6:32,6:37,7:48,8:15
2022-03-08,3,8,Sha'ban,5,5:26,6:00,6:57,12:48,1:00,3:55,4:30,6:33,6:38,7:49,8:15
2022-03-09,3,9,Sha'ban,6,5:24,6:00,6:55,12:48,1:00,3:56,4:30,6:34,6:39,7:50,8:15
2022-03-10,3,10,Sha'ban,7,5:22,6:00,6:53,12:47,1:00,3:57,4:30,6:35,6:40,7:51,8:15
2022-03-11,3,11,Sha'ban,8,5:21,5:45,6:52,12:47,1:00,3:58,4:30,6:36,6:41,7:52,8:15
2022-03-12,3,12,Sha'ban,9,5:19,5:45,6:50,12:47,1:00,3:58,4:30,6:37,6:42,7:53,8:15
